"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"10601","Madhya Pradesh","Construction of public staircase/ stair ghat for public convenience","WS/MP107/2024-2025/158728","SEONI(District Collector Seoni_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","20-Jan-2025","SHRI RAM TRADERS","Payment Success","98075"
"10602","Madhya Pradesh","Construction of public staircase/ stair ghat for public convenience","WS/MP107/2024-2025/158727","SEONI(District Collector Seoni_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","22-Jan-2025","SHRI RAM TRADERS","Payment Success","98090"
"10603","Madhya Pradesh","Renovation of ponds and lakes","WS/MP107/2025-2026/192444","SEONI(District Collector Seoni_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","24-Jun-2025","SHRI RAM TRADERS","Payment Success","642300"
"10604","Punjab","Purchase of training equipment","WS/MP844/2025-2026/244229","MOGA(Deputy Commissioner Moga)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","13-Mar-2026","Ess Kay Sports","Payment Success","249799"
"10605","Punjab","Construction of public libraries and reading rooms","WS/MP140/2024-2025/126948","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","25-Feb-2025","Kishan BKO","Payment Success","15930"
"10606","Punjab","Construction of public libraries and reading rooms","WS/MP140/2024-2025/126948","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","06-Jun-2025","Kishan BKO","Payment Success","61900"
"10607","Punjab","Construction of public libraries and reading rooms","WS/MP140/2024-2025/126948","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","06-Jun-2025","J M Traders Bhucho mandi","Payment Success","4835"
"10608","Punjab","Construction of public libraries and reading rooms","WS/MP140/2024-2025/126948","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","25-Feb-2025","J M Traders Bhucho mandi","Payment Success","23577"
"10609","Madhya Pradesh","Construction of additional rooms and halls in the existing public and community building","WS/MP103/2026-2027/258029","DINDORI(District Collector Dindori_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","01-Aug-2026","MANGALAM TRADERS","Payment Success","276400"
"10610","Punjab","Renovation of ponds and lakes","WS/MP140/2023-2024/39816","MOGA(Deputy Commissioner Moga)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","21-Jan-2025","RAMANDEEP SINGH","Payment Success","494983"
"10611","Punjab","Renovation of ponds and lakes","WS/MP140/2023-2024/39816","MOGA(Deputy Commissioner Moga)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","20-Jan-2025","RAMANDEEP SINGH","Payment Success","75412"
"10612","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP140/2024-2025/142008","MOGA(Deputy Commissioner Moga)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","21-Jan-2025","RAMANDEEP SINGH","Payment Success","437036"
"10613","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP140/2024-2025/142008","MOGA(Deputy Commissioner Moga)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","21-Jan-2025","RAMANDEEP SINGH","Payment Success","202827"
"10614","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP138/2025-2026/205453","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","27-Jan-2026","SUSHANTA KUMAR PATTNAIK","Payment Success","250000"
"10615","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP147/2024-2025/149058","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","21-Jan-2025","yatendra faujdar","Payment Success","1300000"
"10616","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP147/2024-2025/145101","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","21-Jan-2025","SUNIL KUMAR SHARMA","Payment Success","850000"
"10617","Uttar Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP202/2025-2026/199243","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","29-Dec-2025","JAYA SRI INDUSTRIES","Payment Success","1131078"
"10618","Uttar Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP202/2025-2026/199242","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","29-Dec-2025","JAYA SRI INDUSTRIES","Payment Success","1131078"
"10619","Uttar Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP202/2025-2026/199244","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","29-Dec-2025","JAYA SRI INDUSTRIES","Payment Success","1132775"
"10620","Uttar Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP202/2025-2026/199245","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","29-Dec-2025","JAYA SRI INDUSTRIES","Payment Success","1131078"
"10621","Uttar Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP202/2025-2026/199246","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","29-Dec-2025","JAYA SRI INDUSTRIES","Payment Success","1132775"
"10622","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2024-2025/138316","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","21-Jan-2025","JAYA SRI INDUSTRIES","Payment Success","687428"
"10623","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2024-2025/138318","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","21-Jan-2025","JAYA SRI INDUSTRIES","Payment Success","687428"
"10624","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2024-2025/138511","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","18-Feb-2025","JAYA SRI INDUSTRIES","Payment Success","629336"
"10625","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2024-2025/138329","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","18-Feb-2025","JAYA SRI INDUSTRIES","Payment Success","687428"
"10626","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2024-2025/138510","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","18-Feb-2025","JAYA SRI INDUSTRIES","Payment Success","687428"
"10627","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2024-2025/138513","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","18-Feb-2025","JAYA SRI INDUSTRIES","Payment Success","687428"
"10628","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2024-2025/138522","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","18-Feb-2025","JAYA SRI INDUSTRIES","Payment Success","687428"
"10629","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2024-2025/138515","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","19-Feb-2025","JAYA SRI INDUSTRIES","Payment Success","629336"
"10630","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2024-2025/145376","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","19-Feb-2025","JAYA SRI INDUSTRIES","Payment Success","687428"
"10631","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2024-2025/138328","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","19-Feb-2025","JAYA SRI INDUSTRIES","Payment Success","687428"
"10632","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2024-2025/138348","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","19-Feb-2025","JAYA SRI INDUSTRIES","Payment Success","687428"
"10633","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2024-2025/138503","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","19-Feb-2025","JAYA SRI INDUSTRIES","Payment Success","687428"
"10634","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2024-2025/138324","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","22-Jan-2025","JAYA SRI INDUSTRIES","Payment Success","687428"
"10635","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2024-2025/138314","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","22-Jan-2025","JAYA SRI INDUSTRIES","Payment Success","687428"
"10636","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2024-2025/138321","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","22-Jan-2025","JAYA SRI INDUSTRIES","Payment Success","687428"
"10637","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2024-2025/138315","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","22-Jan-2025","JAYA SRI INDUSTRIES","Payment Success","687428"
"10638","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2024-2025/138320","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","22-Jan-2025","JAYA SRI INDUSTRIES","Payment Success","687428"
"10639","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2024-2025/138323","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","22-Jan-2025","JAYA SRI INDUSTRIES","Payment Success","687428"
"10640","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2024-2025/138317","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","22-Jan-2025","JAYA SRI INDUSTRIES","Payment Success","687428"
"10641","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2024-2025/138319","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","22-Jan-2025","JAYA SRI INDUSTRIES","Payment Success","687428"
"10642","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2025-2026/199013","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","15-Oct-2025","JAYA SRI INDUSTRIES","Payment Success","653980"
"10643","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2025-2026/199077","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","15-Oct-2025","JAYA SRI INDUSTRIES","Payment Success","653980"
"10644","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2025-2026/199027","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","15-Oct-2025","JAYA SRI INDUSTRIES","Payment Success","653980"
"10645","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2025-2026/199063","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","15-Oct-2025","JAYA SRI INDUSTRIES","Payment Success","653980"
"10646","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2025-2026/199021","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","15-Oct-2025","JAYA SRI INDUSTRIES","Payment Success","653980"
"10647","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2025-2026/199020","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","15-Oct-2025","JAYA SRI INDUSTRIES","Payment Success","653980"
"10648","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2025-2026/199014","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","15-Oct-2025","JAYA SRI INDUSTRIES","Payment Success","653980"
"10649","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2025-2026/199015","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","15-Oct-2025","JAYA SRI INDUSTRIES","Payment Success","653980"
"10650","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2025-2026/199012","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","15-Oct-2025","JAYA SRI INDUSTRIES","Payment Success","653980"
"10651","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2025-2026/199016","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","15-Oct-2025","JAYA SRI INDUSTRIES","Payment Success","653980"
"10652","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2024-2025/138332","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","24-Mar-2025","JAYA SRI INDUSTRIES","Payment Success","687428"
"10653","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2024-2025/138333","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","24-Mar-2025","JAYA SRI INDUSTRIES","Payment Success","687428"
"10654","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2024-2025/138336","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","24-Mar-2025","JAYA SRI INDUSTRIES","Payment Success","687428"
"10655","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2024-2025/138353","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","24-Mar-2025","JAYA SRI INDUSTRIES","Payment Success","687428"
"10656","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2024-2025/138356","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","24-Mar-2025","JAYA SRI INDUSTRIES","Payment Success","687428"
"10657","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2024-2025/138362","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","24-Mar-2025","JAYA SRI INDUSTRIES","Payment Success","687428"
"10658","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2024-2025/138366","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","24-Mar-2025","JAYA SRI INDUSTRIES","Payment Success","687428"
"10659","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2024-2025/138370","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","24-Mar-2025","JAYA SRI INDUSTRIES","Payment Success","687428"
"10660","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2024-2025/138516","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","24-Mar-2025","JAYA SRI INDUSTRIES","Payment Success","687428"
"10661","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2024-2025/138517","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","24-Mar-2025","JAYA SRI INDUSTRIES","Payment Success","687428"
"10662","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2025-2026/199065","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","08-Aug-2025","JAYA SRI INDUSTRIES","Payment Success","653980"
"10663","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2025-2026/199032","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","08-Aug-2025","JAYA SRI INDUSTRIES","Payment Success","653980"
"10664","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2025-2026/199074","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","08-Aug-2025","JAYA SRI INDUSTRIES","Payment Success","653980"
"10665","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2025-2026/199024","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","07-Aug-2025","JAYA SRI INDUSTRIES","Payment Success","653980"
"10666","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2025-2026/199023","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","08-Aug-2025","JAYA SRI INDUSTRIES","Payment Success","653980"
"10667","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2025-2026/199018","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","08-Aug-2025","JAYA SRI INDUSTRIES","Payment Success","653980"
"10668","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2025-2026/199017","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","08-Aug-2025","JAYA SRI INDUSTRIES","Payment Success","653980"
"10669","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2025-2026/199050","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","08-Aug-2025","JAYA SRI INDUSTRIES","Payment Success","653980"
"10670","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2025-2026/199075","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","08-Aug-2025","JAYA SRI INDUSTRIES","Payment Success","653980"
"10671","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2025-2026/199070","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","08-Aug-2025","JAYA SRI INDUSTRIES","Payment Success","653980"
"10672","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2025-2026/199019","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","08-Aug-2025","JAYA SRI INDUSTRIES","Payment Success","653980"
"10673","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2025-2026/199073","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","08-Aug-2025","JAYA SRI INDUSTRIES","Payment Success","653980"
"10674","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2025-2026/199041","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","08-Aug-2025","JAYA SRI INDUSTRIES","Payment Success","653980"
"10675","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2025-2026/199069","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","07-Aug-2025","JAYA SRI INDUSTRIES","Payment Success","653980"
"10676","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2025-2026/199062","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","07-Aug-2025","JAYA SRI INDUSTRIES","Payment Success","653980"
"10677","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2025-2026/199066","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","07-Aug-2025","JAYA SRI INDUSTRIES","Payment Success","653980"
"10678","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2025-2026/199072","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","07-Aug-2025","JAYA SRI INDUSTRIES","Payment Success","653980"
"10679","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2025-2026/199042","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","07-Aug-2025","JAYA SRI INDUSTRIES","Payment Success","653980"
"10680","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2025-2026/199011","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","07-Aug-2025","JAYA SRI INDUSTRIES","Payment Success","653980"
"10681","Uttar Pradesh","Installation of multi-gym equipment","WS/MP202/2025-2026/199030","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","07-Aug-2025","JAYA SRI INDUSTRIES","Payment Success","653980"
"10682","Uttar Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP887/2024-2025/151290","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Dinesh Sharma (2023-26) (2023-2026)","Elected MP","12-Apr-2026","ANMOL SINGH","Payment Success","1274400"
"10683","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP887/2023-2024/105224","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Dinesh Sharma (2023-26) (2023-2026)","Elected MP","12-Jun-2025","ANMOL SINGH","Payment Success","977631"
"10684","Assam","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP831/2024-2025/140244","BARPETA(DEPUTY COMMISSIONER BARPETA 1)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","25-Feb-2026","CONST OF ROAD FROM NATUNBASTI TO AHOM PATHAR VIA TO DHARA","Payment Success","800000"
"10685","Assam","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP831/2024-2025/140244","BARPETA(DEPUTY COMMISSIONER BARPETA 1)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","04-Feb-2025","CONST OF ROAD FROM NATUNBASTI TO AHOM PATHAR VIA TO DHARA","Payment Success","1200000"
"10686","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP148/2024-2025/137146","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","23-Jul-2025","Mohini borewell and construction company","Payment Success","881671"
"10687","Jammu And Kashmir","Construction of common work sheds/ common covered sitting area","WS/MP839/2024-2025/152776","SAMBA(Deputy Commissioner Samba_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","26-Apr-2025","Asma","Payment Success","459000"
"10688","Kerala","Construction of footpaths and pedestrian ways","WS/MP842/2024-2025/132554","PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA)","Smt. P. T. Usha (2022-28) (2022-2028)","Nominated MP","23-Jan-2025","Biju K","Payment Success","260770"
"10689","Punjab","Construction of public libraries and reading rooms","WS/MP140/2024-2025/126948","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","19-Jun-2025","Sukhpal Kaur Sarpanch","Payment Success","30900"
"10690","Punjab","Construction of public libraries and reading rooms","WS/MP140/2024-2025/126948","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","28-Mar-2025","Sukhpal Kaur Sarpanch","Payment Success","25027"
"10691","Punjab","Construction of public libraries and reading rooms","WS/MP140/2024-2025/126948","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","25-Feb-2025","Sukhpal Kaur Sarpanch","Payment Success","54852"
"10692","Uttar Pradesh","Construction of additional rooms and halls in the existing public and community building","WS/MP18302/2024-2025/143299","Sant Kabir Nagar(DISTRICT MAGISTRATE SANT KABIR NAGAR_2)","Shri Sanjay Seth (2024-30) (2024-2030)","Elected MP","25-Mar-2025","SHIVI K R PRIVATE LIMITED","Payment Success","2118200"
"10693","Uttar Pradesh","Construction of additional rooms and halls in the existing public and community building","WS/MP18302/2024-2025/143299","Sant Kabir Nagar(DISTRICT MAGISTRATE SANT KABIR NAGAR_2)","Shri Sanjay Seth (2024-30) (2024-2030)","Elected MP","09-Jul-2025","SHIVI K R PRIVATE LIMITED","Payment Success","881800"
"10694","Kerala","Street lights","WS/MP099/2024-2025/152180","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","20-Mar-2025","RAFEEQUE V P","Payment Success","174176"
"10695","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP192/2025-2026/185628","JALGAON(DISTRICT COLLECTOR JALGAON_IDA)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","24-Mar-2026","VIGHNAHARTA CONTRUCTION AND CO","Payment Success","1894628"
"10696","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP138/2024-2025/170345","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","22-Mar-2025","Hemanta Kumar Behera","Payment Success","500000"
