"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"22789","Normal/Others","NA-Construction of rooms and halls in school and colleges","Odisha","Kataka(DISTRICT COLLECTOR CUTTACK_IDA)","Shri Sujeet Kumar (2026-32) (2026-2032)","Elected MP","Const. of building at Bapuji Sishu Mandir (Child Care Institution), Swarnakshetra, Mahanga","20-Jul-2026","700000","NA"
"22790","Normal/Others","WS/MP195/2026-2027/297093-Installing community drinking water plants","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","Water Cooler (voltas) with water supply connection near Panchyat Ghar","31-Jul-2026","303540","05-Aug-2026"
"22791","Normal/Others","WS/MP195/2026-2027/297094-Installing community drinking water plants","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","Water Cooler (voltas) with water supply connection in villege","31-Jul-2026","303540","05-Aug-2026"
"22792","Normal/Others","WS/MP195/2026-2027/297095-Installing community drinking water plants","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","Water Cooler (voltas) with water supply connection on mandir","31-Jul-2026","303540","05-Aug-2026"
"22793","Normal/Others","WS/MP195/2026-2027/297096-Installing community drinking water plants","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","Water Cooler (voltas) with water supply connection in parwala west nagla","31-Jul-2026","303540","05-Aug-2026"
"22794","Normal/Others","WS/MP195/2026-2027/297097-Installing community drinking water plants","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","Water Cooler (voltas) with water supply connection in jyora tadchowk","31-Jul-2026","303540","05-Aug-2026"
"22795","Normal/Others","WS/MP195/2026-2027/297098-Installing community drinking water plants","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","Water Cooler (voltas) with water supply connection in jyora near Kshetriy Samaj Tempal","31-Jul-2026","303540","05-Aug-2026"
"22796","Normal/Others","WS/MP195/2026-2027/297099-Installing community drinking water plants","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","Water Cooler (voltas) with water supply connection on holi chowk","31-Jul-2026","303540","05-Aug-2026"
"22797","Normal/Others","WS/MP195/2026-2027/297100-Installing community drinking water plants","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","Water Cooler (voltas) with water supply connection in Gaon ke tirahe par","31-Jul-2026","303540","05-Aug-2026"
"22798","Normal/Others","WS/MP195/2026-2027/297101-Installing community drinking water plants","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","Water Cooler (voltas) with water supply connection in Gaon ke tirahe par","31-Jul-2026","303540","05-Aug-2026"
"22799","Normal/Others","WS/MP892/2026-2027/297126-Purchase of IT systems, including hardware and software for educational purposes","Gujarat","NARMADA(DISTRICT COLLECTOR NARMADA_IDA)","Shri S. Jaishankar (2023-29) (2023-2029)","Elected MP","Integrated Blended Classroom Solution at RMSA Government SEcondary School, Motiparodhi, Village Parodhi, Block Sagbara, Narmada District, Gujarat","20-Jul-2026","500000","29-Jul-2026"
"22800","Normal/Others","WS/MP892/2026-2027/297128-Purchase of IT systems, including hardware and software for educational purposes","Gujarat","NARMADA(DISTRICT COLLECTOR NARMADA_IDA)","Shri S. Jaishankar (2023-29) (2023-2029)","Elected MP","Integrated Blended Classroom Solution at Pranav Upgrade Secondary Ashram Shala, Fulvadi, Village Fulvadi, Block Garudeshwar, Narmada District, Gujarat","20-Jul-2026","500000","29-Jul-2026"
