"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"9639","Normal/Others","WS/MP18304/2025-2026/190165-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Himachal Pradesh","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of railing flood control embankment ward no 27 mehli bypass kasumpti","11-Apr-2025","05-May-2025","300000","Vendor Identification"
"9640","Normal/Others","WS/MP108/2025-2026/190171-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","Construction of road at Kothoda, Nandgaon Khandeshwar from mukund Dhande to ghanshyam dahande.","09-Apr-2025","06-Aug-2025","1000000","Vendor Identification"
"9641","Normal/Others","WS/MP18304/2025-2026/190177-Construction of community centers and community halls","Himachal Pradesh","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of mahila mandal maghara bhawan nirman (community hall)","11-Apr-2025","23-Sep-2025","100000","Vendor Identification"
"9642","Normal/Others","WS/MP108/2025-2026/190178-Construction of boundary walls of existing public and community buildings","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","construction of compound wall, pevour block and siiting arragement at Masod.","09-Apr-2025","18-Aug-2025","700000","Physical Inspection"
"9643","Normal/Others","WS/MP18304/2025-2026/190179-Construction of community centers and community halls","Himachal Pradesh","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Mahila Mandal Nanan Bhawan Nirman (Community Hall)","11-Apr-2025","11-Jul-2025","200000","Work partially Completed"
"9644","Normal/Others","WS/MP18304/2025-2026/190180-Lighting of public spaces","Himachal Pradesh","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Scheduled Caste Basti Kamdali, Solar light (Lighting of Public spaces)","11-Apr-2025","11-Jul-2025","200000","Work partially Completed"
"9645","Normal/Others","WS/MP108/2025-2026/190181-Construction of community centers and community halls","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","Construction of community hall at gurukrupa colony, Rahatgaon, Amravati.","09-Apr-2025","15-May-2025","1500000","Work Completed"
"9646","Normal/Others","WS/MP108/2025-2026/190182-Construction of community centers and community halls","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","Construction of community hall at gurudeo nagar, Teosa","09-Apr-2025","06-Aug-2025","1000000","Sanction"
"9647","Normal/Others","WS/MP108/2026-2027/190231-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","Purchase of hearing  aid for Mr. Ram Suresh Kalpande","09-Apr-2025","08-Jul-2026","100000","Work partially Completed"
"9648","Normal/Others","WS/MP108/2026-2027/190258-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","Purchase of hearing aid for Harshal Vasantrao Jambhe at karajgaon","09-Apr-2025","08-Jul-2026","100000","Work partially Completed"
"9649","Normal/Others","WS/MP108/2025-2026/190259-Construction of culverts and bridges","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","Construction of culverts and bridge at Shri Jain Mandir, Nagthana","09-Apr-2025","18-Aug-2025","994000","Work partially Completed"
"9650","Normal/Others","WS/MP840/2025-2026/190262-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","WEST GODAVARI(DISTRICT COLLECTOR WEST GODAVARI_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing CC Planks to bund slope and gravel top on North side of Jaggabathula cheruvu at Rapaka","09-Apr-2025","26-Apr-2025","2400000","Work Completed"
"9651","Normal/Others","WS/MP18304/2025-2026/190264-Development of public parks","Himachal Pradesh","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Development of public parks beautification of parisar","11-Apr-2025","11-Jul-2025","100000","Work partially Completed"
"9652","Normal/Others","WS/MP18304/2025-2026/190270-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Road ram niwas to delhi road","11-Apr-2025","08-May-2025","100000","Vendor Identification"
"9653","Normal/Others","WS/MP18304/2025-2026/190271-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of link road to shakti vihar colony panthghati","11-Apr-2025","10-Jun-2025","300000","Vendor Identification"
"9654","Normal/Others","WS/MP18304/2025-2026/190297-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of pathways road from main road to pawan kumar house","11-Apr-2025","25-Mar-2026","150000","Sanction"
"9655","Normal/Others","WS/MP18304/2025-2026/190298-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of pathways road from main pwd road to suresh kumar and satish Kumar House","11-Apr-2025","25-Mar-2026","147813","Sanction"
"9656","Normal/Others","WS/MP18304/2025-2026/190299-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of pathways culvert near the surinder house","11-Apr-2025","25-Mar-2026","148812","Sanction"
"9657","Normal/Others","WS/MP18304/2025-2026/190300-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Pathways Road from aman Kumar house to vipin kumar house","11-Apr-2025","03-Feb-2026","148621","Sanction"
"9658","Normal/Others","WS/MP18304/2025-2026/190303-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Pathways road from ashok kumar house to main Road","11-Apr-2025","25-Mar-2026","149927","Sanction"
"9659","Normal/Others","WS/MP18304/2025-2026/190304-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Pathways Road from Pritam Cow Shed to Jatt Basti Dhiman Basti Mehndru","11-Apr-2025","25-Mar-2026","150000","Sanction"
"9660","Normal/Others","WS/MP18304/2025-2026/190305-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Pathways Road from Main Road to Mahinder Singh house","11-Apr-2025","25-Mar-2026","148812","Sanction"
"9661","Normal/Others","WS/MP145/2025-2026/190308-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Rajasthan","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","Construction of Boundary, Sarv Samaj Mokshdhaam","09-Apr-2025","06-Jun-2025","999485","Physical Inspection"
"9662","Normal/Others","WS/MP001/2025-2026/190325-Installation of multi-gym equipment","Bihar","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","1.Bhawanipur High School. Block Adapur,  Ward no-7 ,Bhawanipur Bazar ,District Purvi Champraran  1 Set","09-Apr-2025","19-Jun-2025","700000","Physical Inspection"
"9663","Normal/Others","WS/MP001/2025-2026/190326-Installation of multi-gym equipment","Bihar","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","2.Pokhariya High School. Block Adapur Ward no-2 Pokhariya, District. Purvi Champaran. 1 Set","09-Apr-2025","19-Jun-2025","700000","Physical Inspection"
"9664","Normal/Others","WS/MP001/2025-2026/190327-Installation of multi-gym equipment","Bihar","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","3.Nakardei High School. Block Adapur, Ward no-6  Nakardei, Ward no-6 District Purvi Champraran. 1 Set","09-Apr-2025","19-Jun-2025","700000","Physical Inspection"
