"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"18891","Normal/Others","WS/MP18347/2026-2027/289472-Lighting of public spaces","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Work of high mask light near the railway line of village Nagla of village Chhah Pokhar of Vidhan Sabha Achhnera.","26-Jun-2026","03-Sep-2026","249000","Sanction"
"18892","Normal/Others","WS/MP18347/2026-2027/289473-Installing tube-wells and borewells","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation work of sump pump with tank in Jatav Basti of No. Dalshay of Gram Panchayat Basaiya Raimal of Block Akola.","26-Jun-2026","03-Sep-2026","265000","Sanction"
"18893","Normal/Others","WS/MP18347/2026-2027/289474-Lighting of public spaces","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Work of high mask light in Jatav Basti in Majra Basaiya of Gram Panchayat Basaiya Raimal of Vikaskhand Akola.","26-Jun-2026","03-Sep-2026","249000","Sanction"
"18894","Normal/Others","WS/MP18347/2026-2027/289475-Lighting of public spaces","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Work of high mask light near Khadua well in No. Dalshay of Gram Panchayat Basaiya Raimal of Block Akola.","26-Jun-2026","03-Sep-2026","249000","Sanction"
"18895","Normal/Others","WS/MP18347/2026-2027/289476-Lighting of public spaces","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Work of high mask light near Lalsingh's house in Basaiya Jatav Basti, Majra Basaiya Raimal, Vikaskhand, Akola.","26-Jun-2026","03-Sep-2026","249000","Sanction"
"18896","Normal/Others","WS/MP18347/2026-2027/289477-Lighting of public spaces","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Work of high mask light at Majra Nagla Beech intersection of Gram Panchayat Basaiya Raimal of Vikaskhand Akola.","26-Jun-2026","03-Sep-2026","249000","Sanction"
"18897","Normal/Others","WS/MP18347/2026-2027/289478-Lighting of public spaces","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Work of high mask light at Chandraveer's mode in Nagla Gayra of Block Akola.","26-Jun-2026","03-Sep-2026","249000","Sanction"
"18898","Normal/Others","WS/MP18347/2026-2027/289479-Lighting of public spaces","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Work of high mask light near Tans Farm on Shamshan Ghat Road in village Gaharra Kala.","26-Jun-2026","03-Sep-2026","249000","Sanction"
"18899","Normal/Others","WS/MP18347/2026-2027/289480-Lighting of public spaces","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Work of high mask light near Guddu Singh's house at Rithora turn in village Gaharra Kala.","26-Jun-2026","03-Sep-2026","249000","Sanction"
"18900","Normal/Others","WS/MP145/2026-2027/289504-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Rajasthan","SAWAI MADHOPUR(DISTRICT COLLECTOR SAWAI MADHOPUR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","Gram Shiwar me Sthit Chhota Talab/Sarovar par Ghat ka Nirman Kary","26-Jun-2026","14-Aug-2026","2000000","Sanction"
"18901","Normal/Others","WS/MP18347/2026-2027/289523-Lighting of public spaces","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Work of high mask light near Ranveer Singh Pradhan's market in Majra Baha of Gram Panchayat Bagha Soniga.","26-Jun-2026","03-Sep-2026","249000","Sanction"
"18902","Normal/Others","WS/MP18347/2026-2027/289524-Lighting of public spaces","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Work of high mask light near Didar Singh Public Higher Secondary School in Gram Panchayat Jajau.","26-Jun-2026","03-Sep-2026","249000","Sanction"
"18903","Normal/Others","WS/MP18347/2026-2027/289525-Lighting of public spaces","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Work of high mask light near the house of Sonu Sharma son of Ramkhiladi Sharma in village Soura Saiya","26-Jun-2026","03-Sep-2026","249000","Sanction"
"18904","Normal/Others","WS/MP18347/2026-2027/289526-Lighting of public spaces","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Work of high mask light at Samra intersection of Vidhan Sabha Khandauli","26-Jun-2026","03-Sep-2026","249000","Sanction"
"18905","Normal/Others","WS/MP18347/2026-2027/289527-Lighting of public spaces","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Work of high mask light near Khandauli Paithe Wali Gali of Vidhansabha Khandauli","26-Jun-2026","03-Sep-2026","249000","Sanction"
"18906","Normal/Others","WS/MP18347/2026-2027/289528-Installing tube-wells and borewells","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of summersebil  with tanki near the house of Prabhat Sikarwar in Mouza Chaugan of village Garhi Rami.","26-Jun-2026","03-Sep-2026","265000","Sanction"
"18907","Normal/Others","WS/MP18347/2026-2027/289529-Installing tube-wells and borewells","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of summer sabil with water tank  in Ward No. 41 Nirmal Sadan Balmik Basti.","26-Jun-2026","03-Sep-2026","265000","Sanction"
"18908","Normal/Others","WS/MP18347/2026-2027/289530-Installing tube-wells and borewells","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of summer sabil with tank near Jain temple in Chhiptola.","26-Jun-2026","03-Sep-2026","265000","Sanction"
"18909","Normal/Others","WS/MP18347/2026-2027/289531-Installing tube-wells and borewells","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation work of summer sabil with tanki  near Kali temple in Ward No. 41, Katra Garharian Koli Basti.","26-Jun-2026","03-Sep-2026","265000","Sanction"
"18910","Normal/Others","WS/MP18347/2026-2027/289532-Installing tube-wells and borewells","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation work of summer sabilwith tanki near Ward No. 41 Katra Gadhariyan Nageshwar Temple","26-Jun-2026","03-Sep-2026","265000","Sanction"
"18911","Normal/Others","WS/MP18347/2026-2027/289533-Installing tube-wells and borewells","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation work of summer sabil with tanki in Ward No. 41, Cheelgad Khatik Basti.","26-Jun-2026","03-Sep-2026","265000","Sanction"
"18912","Normal/Others","WS/MP18347/2026-2027/289534-Installing tube-wells and borewells","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of summer sabil with tanki near Pakka Chabutara in Ward No. 41 Baluganj.","26-Jun-2026","03-Sep-2026","265000","Sanction"
"18913","Normal/Others","WS/MP18347/2026-2027/289535-Installing tube-wells and borewells","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation work of water pump with tank near Sunil Sikarwar's house in Ward No. 41, Tili Baluganj.","26-Jun-2026","03-Sep-2026","265000","Sanction"
"18914","Normal/Others","WS/MP18347/2026-2027/289536-Installing tube-wells and borewells","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of summer sabil with tanki near Irfan Qureshi's house in Lohamandi Nauvasta Peer Babudwin.","26-Jun-2026","03-Sep-2026","265000","Sanction"
"18915","Normal/Others","WS/MP18347/2026-2027/289537-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","CC work from Indra Fauji's house to Arjun Singh's house in village Chhah Pokhar of Vikaskhand Achhnera.","26-Jun-2026","03-Sep-2026","1042000","Sanction"
"18916","Normal/Others","WS/MP18347/2026-2027/289542-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","CC work from Shibbo Bhagat's house to Ganesh Bhagat's house in village Chhah Pokhar of Vikas Khand Achhnera.","26-Jun-2026","03-Sep-2026","914000","Sanction"
"18917","Normal/Others","WS/MP18347/2026-2027/289543-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","CC work from J.S. Gupta's house to the temple in Rajshree Garden, Dayalwag","26-Jun-2026","03-Sep-2026","823500","Sanction"
"18918","Normal/Others","WS/MP18347/2026-2027/289544-Lighting of public spaces","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","High mask light work chhota park in Rajshree Garden Dayalbagh","26-Jun-2026","03-Sep-2026","249000","Sanction"
"18919","Normal/Others","WS/MP18347/2026-2027/289545-Lighting of public spaces","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","High mask light work near Sanjeev Yadav's house in Rajshree Garden Dayalwag","26-Jun-2026","03-Sep-2026","249000","Sanction"
"18920","Normal/Others","WS/MP18347/2026-2027/289546-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","CC work from 100 feet road to women's hostel in Nehru Enclave, Ward No. 77","26-Jun-2026","03-Sep-2026","1714000","Sanction"
"18921","Normal/Others","WS/MP18347/2026-2027/289547-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","CC work from Alwatia Road main road to EuroKids School in Ward No. 18 Mannu Vihar Maruti Estate","26-Jun-2026","03-Sep-2026","1078600","Sanction"
"18922","Normal/Others","WS/MP18347/2026-2027/289548-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","CC work from Munnalal Diwakar's house to Ramavatar Prajapati's house in Ward No. 19 Shanti Nagar","26-Jun-2026","03-Sep-2026","837000","Sanction"
"18923","Normal/Others","WS/MP18347/2026-2027/289569-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","CC work from Jitendra Chak house to Balveer Dharia's house in Deori Road in Ward No. 19 Shanti Nagar","26-Jun-2026","03-Sep-2026","668600","Sanction"
"18924","Normal/Others","WS/MP18347/2026-2027/289570-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","CC work from Dr. Ramesh's house to Bhupendra's house in Khawaspura","26-Jun-2026","03-Sep-2026","434000","Sanction"
"18925","Normal/Others","WS/MP18347/2026-2027/289571-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Work from Vishan ji's house to Hamid's house in Khawaspura","26-Jun-2026","03-Sep-2026","202000","Sanction"
"18926","Normal/Others","WS/MP18347/2026-2027/289572-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","CC work from Gajendra Yadav's house to Shankar Yadav's house via Devki Yadav's house in village Barauli Ahir","26-Jun-2026","03-Sep-2026","1825800","Sanction"
"18927","Normal/Others","WS/MP18347/2026-2027/289573-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","CC work from CC road to cremation ground in village Mangraul Jat.","26-Jun-2026","03-Sep-2026","1990900","Sanction"
"18928","Normal/Others","WS/MP18347/2026-2027/289574-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","C.C. work from Guddu Mirza's house to Muktar Hussain's house in Dhuliyaganj Paichowki.","26-Jun-2026","03-Sep-2026","700000","Sanction"
"18929","Normal/Others","WS/MP18347/2026-2027/289587-Lighting of public spaces","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Work of high mask light near the house of Rajveer son of Shri Veeri Singh in Nagla Gaiya of Block Akola.","26-Jun-2026","03-Sep-2026","249000","Sanction"
"18930","Normal/Others","WS/MP18347/2026-2027/289588-Lighting of public spaces","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","High-mast light installation work near Bhumi Hotel, Taj Mahal Road, Amarlok Colony.","26-Jun-2026","03-Sep-2026","249000","Sanction"
"18931","Normal/Others","WS/MP18428/2026-2027/289661-Installing community drinking water plants","Andhra Pradesh","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Shri Masthan Rao Yadav Beedha (2024-28) (2024-2028)","Elected MP","Providing RO Palnt Machinery in SC Colony Annavaram Village & GP of Jaladanki Mandal, SPSR Nellore District","27-Jun-2026","27-Jul-2026","300000","Sanction"
"18932","Normal/Others","WS/MP18428/2026-2027/289662-Installing community drinking water plants","Andhra Pradesh","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Shri Masthan Rao Yadav Beedha (2024-28) (2024-2028)","Elected MP","Providing Bore well and Pump Set, RO Palnt Sheter for RO Plant SC Colony Annavaram Village & GP of Jaladanki Mandal, SPSR Nellore District","27-Jun-2026","27-Jul-2026","500000","Sanction"
"18933","Normal/Others","WS/MP18428/2026-2027/289663-Installing community drinking water plants","Andhra Pradesh","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Shri Masthan Rao Yadav Beedha (2024-28) (2024-2028)","Elected MP","Providing RO Palnt Machinery in Kattakindapalli Village of Duttalur GP of Duttalur Mandal, SPSR Nellore District","27-Jun-2026","27-Jul-2026","300000","Sanction"
"18934","Normal/Others","WS/MP18428/2026-2027/289664-Installing community drinking water plants","Andhra Pradesh","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Shri Masthan Rao Yadav Beedha (2024-28) (2024-2028)","Elected MP","Providing Bore well and Pump Set, RO Palnt Shelter in Kattakindapalli Village of Duttalur GP of Duttalur Mandal, SPSR Nellore District","27-Jun-2026","27-Jul-2026","500000","Sanction"
"18935","Normal/Others","WS/MP18428/2026-2027/289665-Installing community drinking water plants","Andhra Pradesh","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Shri Masthan Rao Yadav Beedha (2024-28) (2024-2028)","Elected MP","Providing RO Palnt Machinery in ST Colony of Udayagiri GP of Udayagiri Mandal, SPSR Nellore District","27-Jun-2026","27-Jul-2026","300000","Sanction"
"18936","Normal/Others","WS/MP18428/2026-2027/289666-Installing community drinking water plants","Andhra Pradesh","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Shri Masthan Rao Yadav Beedha (2024-28) (2024-2028)","Elected MP","Providing Bore well and Pump Set, RO Palnt Shelter in ST Colony of Udayagiri GP of Udayagiri Mandal, SPSR Nellore District","27-Jun-2026","27-Jul-2026","500000","Sanction"
"18937","Normal/Others","WS/MP18428/2026-2027/289667-Installing community drinking water plants","Andhra Pradesh","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Shri Masthan Rao Yadav Beedha (2024-28) (2024-2028)","Elected MP","Providing RO Plant machinery in G.Kothapalli Village of G. Kondareddypalli GP of VK Padu Mandal","27-Jun-2026","27-Jul-2026","300000","Sanction"
"18938","Normal/Others","WS/MP18428/2026-2027/289675-Construction of boundary walls of existing public and community buildings","Andhra Pradesh","Nandyal(DISTRICT COLLECTOR NANDYAL_IDA)","Shri Masthan Rao Yadav Beedha (2024-28) (2024-2028)","Elected MP","Construction of Compound wall at Left side of Community Health Center at Yallur village, Gospadu(M), Nandyala(D) Bit-1","27-Jun-2026","20-Jul-2026","500000","Sanction"
"18939","Normal/Others","WS/MP18428/2026-2027/289676-Construction of boundary walls of existing public and community buildings","Andhra Pradesh","Nandyal(DISTRICT COLLECTOR NANDYAL_IDA)","Shri Masthan Rao Yadav Beedha (2024-28) (2024-2028)","Elected MP","Construction of Compound wall at Left side of Community Health Center at Yallur village, Gospadu(M), Nandyala(D) Bit-2","27-Jun-2026","20-Jul-2026","500000","Sanction"
"18940","Normal/Others","WS/MP18428/2026-2027/289677-Construction of boundary walls of existing public and community buildings","Andhra Pradesh","Nandyal(DISTRICT COLLECTOR NANDYAL_IDA)","Shri Masthan Rao Yadav Beedha (2024-28) (2024-2028)","Elected MP","Construction of Compound wall at Back side of Community Health Center at Yallur village, Gospadu(M), Nandyala(D) Bit-1","27-Jun-2026","20-Jul-2026","500000","Sanction"
"18941","Normal/Others","WS/MP18428/2026-2027/289678-Construction of boundary walls of existing public and community buildings","Andhra Pradesh","Nandyal(DISTRICT COLLECTOR NANDYAL_IDA)","Shri Masthan Rao Yadav Beedha (2024-28) (2024-2028)","Elected MP","Construction of Compound wall at Back side of Community Health Center at Yallur village, Gospadu(M), Nandyala(D) Bit-2","27-Jun-2026","20-Jul-2026","500000","Sanction"
"18942","Normal/Others","WS/MP18428/2026-2027/289679-Construction of boundary walls of existing public and community buildings","Andhra Pradesh","Nandyal(DISTRICT COLLECTOR NANDYAL_IDA)","Shri Masthan Rao Yadav Beedha (2024-28) (2024-2028)","Elected MP","Construction of Compound wall at Right Side side of Community Health Center at Yallur village, Gospadu(M), Nandyala(D) Bit-1","27-Jun-2026","20-Jul-2026","500000","Sanction"
"18943","Normal/Others","WS/MP18428/2026-2027/289680-Construction of boundary walls of existing public and community buildings","Andhra Pradesh","Nandyal(DISTRICT COLLECTOR NANDYAL_IDA)","Shri Masthan Rao Yadav Beedha (2024-28) (2024-2028)","Elected MP","Construction of Compound wall at Right Side side of Community Health Center at Yallur village, Gospadu(M), Nandyala(D) Bit-2","27-Jun-2026","20-Jul-2026","500000","Sanction"
"18944","Normal/Others","WS/MP18428/2026-2027/289693-Construction of community centers and community halls","Andhra Pradesh","Eluru(DISTRICT COLLECTOR ELURU_IDA)","Shri Masthan Rao Yadav Beedha (2024-28) (2024-2028)","Elected MP","Construction of Community Halla at BC Locality in Nekkalam Gollagudem Gram Panchayat, Agiripalli Mandal in Eluru District","27-Jun-2026","12-Jul-2026","3000000","Sanction"
"18945","Normal/Others","WS/MP18428/2026-2027/289697-Providing supply pipelines for drinking water","Andhra Pradesh","Bapatla(DISTRICT COLLECTOR BAPATLA_IDA)","Shri Masthan Rao Yadav Beedha (2024-28) (2024-2028)","Elected MP","Addtional grant for Augumentation of PWS Scheme to Borravaripalem GP, Nijampatnam Mandal, Bapatla District","27-Jun-2026","20-Jul-2026","2000000","Sanction"
"18946","Normal/Others","WS/MP18428/2026-2027/289705-Construction of boundary walls of existing public and community buildings","Andhra Pradesh","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Shri Masthan Rao Yadav Beedha (2024-28) (2024-2028)","Elected MP","Construction of South - East Side compound wall to burial ground at Kurru Labbipalem Village of Iskapalli GP in Allur Mandal, SPSR Nellore District","27-Jun-2026","27-Jul-2026","1300000","Sanction"
"18947","Normal/Others","WS/MP18428/2026-2027/289706-Lighting of public spaces","Andhra Pradesh","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Shri Masthan Rao Yadav Beedha (2024-28) (2024-2028)","Elected MP","Providing of illumination with 12 Mtrs Polygon High Mast with 200 watts LED flood lights at various places at Iskapalli GP of Allur Mandal, SPSR Nelllore District","27-Jun-2026","27-Jul-2026","1500000","Sanction"
"18948","Normal/Others","WS/MP18428/2026-2027/289710-Installing community drinking water plants","Andhra Pradesh","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Shri Masthan Rao Yadav Beedha (2024-28) (2024-2028)","Elected MP","Providing RO Plant with Shelter in Annagaripalem village of Annagaripalem GP in Kavali Mandal, SPSR Nellore District","27-Jun-2026","27-Jul-2026","500000","Sanction"
"18949","Normal/Others","WS/MP18428/2026-2027/289711-Installing community drinking water plants","Andhra Pradesh","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Shri Masthan Rao Yadav Beedha (2024-28) (2024-2028)","Elected MP","Providing Borewell with pumpset in Annagaripalem village of Annagaripalem GP in Kavali Mandal,SPSR Nellore District","27-Jun-2026","27-Jul-2026","250000","Sanction"
"18950","Normal/Others","WS/MP18428/2026-2027/289712-Installing community drinking water plants","Andhra Pradesh","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Shri Masthan Rao Yadav Beedha (2024-28) (2024-2028)","Elected MP","Providing RO Plant with Shelter in Lakshmipuram village of Lakshmipuram GP in Kavali Mandal,SPSR Nellore District","27-Jun-2026","27-Jul-2026","500000","Sanction"
"18951","Normal/Others","WS/MP18428/2026-2027/289713-Installing community drinking water plants","Andhra Pradesh","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Shri Masthan Rao Yadav Beedha (2024-28) (2024-2028)","Elected MP","Providing Borewell with pumpset in Lakshmipuram village of Lakshmipuram GP in Kavali Mandal,SPSR Nellore District","27-Jun-2026","27-Jul-2026","250000","Sanction"
"18952","Normal/Others","WS/MP18428/2026-2027/289714-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Andhra Pradesh","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Shri Masthan Rao Yadav Beedha (2024-28) (2024-2028)","Elected MP","Construction of shed at Burial ground at Konda bitragunta ST Colony in Bitragunta, Bogole Mandal, SPSR Nellore District","27-Jun-2026","27-Jul-2026","500000","Sanction"
"18953","Normal/Others","WS/MP18428/2026-2027/289721-Construction of boundary walls of existing public and community buildings","Andhra Pradesh","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Shri Masthan Rao Yadav Beedha (2024-28) (2024-2028)","Elected MP","Construction of North side Compund wall to ZPHS at Baddevolu, Baddevolu GP of Manubolu Mandal, SPSR Nellore District","27-Jun-2026","27-Jul-2026","250000","Sanction"
"18954","Normal/Others","WS/MP18304/2026-2027/290015-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of link road sampark marg main road maredi to plastic waste unit maredi dev. Block Chamba","29-Jun-2026","18-Jul-2026","300000","Time Estimation"
"18955","Normal/Others","WS/MP18421/2026-2027/290263-Construction of buildings for sports facilities","Karnataka","KODAGU(Deputy Commsioner Kodagu_ida)","Shri Ajay Makan (2024-30) (2024-2030)","Elected MP","Construction of Sports Training Centre Admin Block Ground Floor (Phase-2)","29-Jun-2026","27-Jul-2026","19900000","Work partially Completed"
"18956","Normal/Others","WS/MP155/2026-2027/290266-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Tamil Nadu","THIRUVARUR(DISTRICT COLLECTOR THIRUVARUR_IDA)","Shri P. Wilson (2025-31) (2025-2031)","Elected MP","construction of ration shop","29-Jun-2026","17-Aug-2026","1450000","Sanction"
"18957","Normal/Others","WS/MP155/2026-2027/290270-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Tamil Nadu","THIRUVARUR(DISTRICT COLLECTOR THIRUVARUR_IDA)","Shri P. Wilson (2025-31) (2025-2031)","Elected MP","construction of ration shop","29-Jun-2026","17-Aug-2026","1450000","Sanction"
"18958","Normal/Others","WS/MP155/2026-2027/290271-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Tamil Nadu","THIRUVARUR(DISTRICT COLLECTOR THIRUVARUR_IDA)","Shri P. Wilson (2025-31) (2025-2031)","Elected MP","construction of ration shop","29-Jun-2026","17-Aug-2026","1450000","Sanction"
"18959","Normal/Others","WS/MP155/2026-2027/290273-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Tamil Nadu","THIRUVARUR(DISTRICT COLLECTOR THIRUVARUR_IDA)","Shri P. Wilson (2025-31) (2025-2031)","Elected MP","construction of ration shop","29-Jun-2026","17-Aug-2026","1450000","Sanction"
"18960","Normal/Others","WS/MP155/2026-2027/290275-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Tamil Nadu","THIRUVARUR(DISTRICT COLLECTOR THIRUVARUR_IDA)","Shri P. Wilson (2025-31) (2025-2031)","Elected MP","construction of ration shop","29-Jun-2026","17-Aug-2026","1450000","Sanction"
"18961","Normal/Others","WS/MP155/2026-2027/290276-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Tamil Nadu","THIRUVARUR(DISTRICT COLLECTOR THIRUVARUR_IDA)","Shri P. Wilson (2025-31) (2025-2031)","Elected MP","construction of ration shop","29-Jun-2026","17-Aug-2026","1450000","Sanction"
"18962","Normal/Others","WS/MP155/2026-2027/290278-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Tamil Nadu","THIRUVARUR(DISTRICT COLLECTOR THIRUVARUR_IDA)","Shri P. Wilson (2025-31) (2025-2031)","Elected MP","construction of ration shop","29-Jun-2026","17-Aug-2026","1450000","Sanction"
"18963","Normal/Others","WS/MP155/2026-2027/290279-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Tamil Nadu","THIRUVARUR(DISTRICT COLLECTOR THIRUVARUR_IDA)","Shri P. Wilson (2025-31) (2025-2031)","Elected MP","construction of ration shop","29-Jun-2026","17-Aug-2026","1450000","Sanction"
